Ticker,Company,Segment,Exchange,Weighting (%)
SZSE: 000069,Shenzhen Overseas Chinese Town Company,Real Estate,Shenzhen,0.085
SSE: 600018,Shanghai International Port Group,Industrials,Shanghai,0.085
SZSE: 000708,CITIC Pacific Special Steel Group,Materials,Shenzhen,0.083
SZSE: 300628,Yealink Network Technology,Information Technology,Shenzhen,0.083
SZSE: 002938,Avary Holding (Shenzhen) Co,Information Technology,Shenzhen,0.082
SZSE: 002916,Shennan Circuits,Information Technology,Shenzhen,0.081
SSE: 605117,Ningbo Deye Technology,Industrials,Shanghai,0.081
SSE: 600039,Sichuan Road&Bridge,Industrials,Shanghai,0.08
SSE: 605499,Eastroc Beverage (Group),Consumer Staples,Shanghai,0.08
SSE: 603195,GONGNIU GROUP,Industrials,Shanghai,0.077
SSE: 600754,Shanghai Jin Jiang International Hotels,Consumer Discretionary,Shanghai,0.075
SSE: 603899,SHANGHAI M&G STATIONERY,Industrials,Shanghai,0.074
SSE: 603290,StarPower Semiconductor,Information Technology,Shanghai,0.073
SSE: 603833,Oppein Home Group,Consumer Discretionary,Shanghai,0.071
SSE: 601865,Flat Glass Group,Information Technology,Shanghai,0.07
SSE: 688363,Bloomage Biotechnology Corporation,Health Care,Shanghai,0.069
SZSE: 000877,Xinjiang Tianshan Cement,Materials,Shenzhen,0.067
SSE: 688065,Cathay Biotech,Materials,Shanghai,0.063
SZSE: 300957,Yunnan Botanee Bio-Technology Group,Consumer Staples,Shenzhen,0.062
SSE: 601236,HONGTA SECURITIES,Financials,Shanghai,0.062
SSE: 601698,China Satellite Communications,Communication,Shanghai,0.06
SSE: 688187,Zhuzhou CRRC Times Electric,Industrials,Shanghai,0.057
SSE: 688561,Qi An Xin Technology Group,Information Technology,Shanghai,0.054
SSE: 601155,Future Land Holdings,Real Estate,Shanghai,0.053
SSE: 600606,China Development Holdings,Real Estate,Shanghai,0.052
SZSE: 300979,Huali Industrial Group Company,Consumer Discretionary,Shenzhen,0.049
SSE: 601808,China Oilfield Services,Energy,Shanghai,0.048
SSE: 603486,Ecovacs Robotics,Consumer Discretionary,Shanghai,0.048
SZSE: 000800,FAW Car,Industrials,Shenzhen,0.046
SSE: 601059,CINDA SECURITIES,Financials,Shanghai,0.031
SZSE: 001289,China Longyuan Power Group Limited,Utilities,Shenzhen,0.016
